Run,Algorithm,Map,Success,Path_Length,Completion_Time,Expanded_Nodes,Collected_Coins,Remaining_Blood
5,Beam Search,Map 7,1,93.9068188730709,6.4279764281753025,164,1,80
6,Beam Search,Map 7,1,100.64719897205646,8.76498250643824,0,1,80
7,Beam Search,Map 7,1,99.17598014578863,6.395622635226,0,3,80
8,Beam Search,Map 7,1,135.97077922082937,8.54091121722603,259,1,80
9,Beam Search,Map 7,1,56.0477583734248,5.247295701802674,0,1,80
10,Beam Search,Map 7,1,111.97338925681949,9.402370457532184,342,1,80
1,Beam Search,Map 8,1,276.60700083879703,13.926767690516675,75,0,90
2,Beam Search,Map 8,1,151.46702882252137,19.230765815662558,27,0,90
3,Beam Search,Map 8,1,319.27651917098194,24.7137670239768,223,1,100
4,Beam Search,Map 8,1,8.79268840422597,15.992925508585998,0,1,100
5,Beam Search,Map 8,1,301.59466085262034,17.295711117019152,0,1,90
6,Beam Search,Map 8,1,186.89188750377025,0.0,28,4,95
7,Beam Search,Map 8,1,1.1718359642077587,8.651709197425452,431,1,95
8,Beam Search,Map 8,1,143.47167666006158,28.01505577689837,117,0,95
9,Beam Search,Map 8,1,291.3811686919977,27.828989649033637,233,0,90
10,Beam Search,Map 8,1,266.9806161127392,7.377458290467388,0,1,90
1,Beam Search,Map 9,1,118.04188129286007,19.564583938757934,65,1,90
2,Beam Search,Map 9,1,124.03738925613398,11.68543221822678,0,4,95
3,Beam Search,Map 9,1,137.5499879191364,4.255133200216244,99,2,90
4,Beam Search,Map 9,1,108.51988891449369,14.384171719881094,105,3,90
5,Beam Search,Map 9,1,129.51488684883435,4.564287897893439,0,3,90
6,Beam Search,Map 9,1,113.2447066956195,7.523034594617548,62,0,90
7,Beam Search,Map 9,0,93.9118416058281,10.750222207276371,0,2,85
8,Beam Search,Map 9,1,117.62523226594821,16.399958700155793,154,1,90
9,Beam Search,Map 9,1,132.94083341251587,11.994215567623751,246,1,90
10,Beam Search,Map 9,1,153.11031458958195,10.756248349202808,0,2,95
1,partial_observe,Map 1,1,158.6491539063436,19.126312456910796,0,1,85
2,partial_observe,Map 1,1,177.09995512877998,17.452668974152687,0,2,85
3,partial_observe,Map 1,0,197.2584715791595,19.64090631198132,446,3,85
4,partial_observe,Map 1,1,203.69979643962574,19.906851443303847,846,2,85
5,partial_observe,Map 1,0,135.59162634343164,21.837173416688287,19,1,85
6,partial_observe,Map 1,1,197.138602661652,15.29448485316394,0,2,85
7,partial_observe,Map 1,0,277.1287342923107,17.563408095681705,418,2,85
8,partial_observe,Map 1,0,213.17081529221124,20.03884380049522,515,0,85
9,partial_observe,Map 1,1,140.48247140879496,14.192510367484811,400,2,85
10,partial_observe,Map 1,0,248.07540793370296,25.738813098147947,285,2,85
1,partial_observe,Map 2,1,189.50437407615863,20.611358485233715,165,1,70
2,partial_observe,Map 2,1,180.48224856510228,20.591056690094938,85,3,85
3,partial_observe,Map 2,1,222.50561004378633,20.109598377730915,100,2,85
4,partial_observe,Map 2,1,175.8875230258453,22.430653818195374,141,2,80
5,partial_observe,Map 2,1,145.84900012508854,24.225858028928755,257,2,80
6,partial_observe,Map 2,1,194.85925763254434,19.025814840427472,112,2,85
7,partial_observe,Map 2,0,255.380872704333,20.44977765267953,105,1,80
8,partial_observe,Map 2,1,252.65994846063296,8.043544987653629,16,2,75
9,partial_observe,Map 2,1,233.4551163394461,26.238297014927632,0,2,80
10,partial_observe,Map 2,1,196.09985330718882,14.839722127162393,42,2,75
1,partial_observe,Map 3,1,185.64711951033348,16.52507104280264,7,1,75
2,partial_observe,Map 3,1,143.28830177117007,10.304772475895199,7,2,70
3,partial_observe,Map 3,1,153.2459043936888,14.321937570888865,7,1,70
4,partial_observe,Map 3,1,129.62884192987903,13.713458011331026,7,1,70
5,partial_observe,Map 3,1,184.83959268238806,14.423515801996022,7,2,75
6,partial_observe,Map 3,1,120.09701523495141,16.11974568121904,7,2,80
7,partial_observe,Map 3,1,194.14815173503084,13.16292523544606,7,1,75
8,partial_observe,Map 3,1,152.06934079958302,15.40343533087698,7,1,75
9,partial_observe,Map 3,1,188.70614610025072,17.177330758618986,7,2,80
10,partial_observe,Map 3,1,147.45212069496964,20.71281080197112,7,2,85
1,partial_observe,Map 4,1,148.76392816266454,18.501914064248094,34,2,90
2,partial_observe,Map 4,1,208.2744966117573,11.859042504031404,0,3,95
3,partial_observe,Map 4,1,158.99628754207694,18.68661462098903,176,3,85
4,partial_observe,Map 4,1,201.93173295396534,23.858981060758136,219,1,85
5,partial_observe,Map 4,1,177.74456460209933,16.993664847184114,0,2,90
6,partial_observe,Map 4,1,216.31893121298748,5.486233183452926,0,2,85
7,partial_observe,Map 4,1,292.2050076488289,20.290649429664033,0,2,90
8,partial_observe,Map 4,1,277.62352174850776,2.9870547494656385,318,2,80
9,partial_observe,Map 4,1,314.76865422769805,12.494048435871495,0,2,85
10,partial_observe,Map 4,1,207.88398629614454,22.25338398766352,0,2,85
1,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
1,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
2,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
3,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
4,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
5,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
6,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
7,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
8,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
9,partial_observe,Map 5,0,732.0,79.61402630805969,18,2,85
1,partial_observe,Map 6,1,154.442145590102,18.229701468018412,0,2,85
2,partial_observe,Map 6,1,130.4892987271267,10.920638892924696,71,1,80
3,partial_observe,Map 6,1,149.53259356555003,15.943562659610016,593,1,80
4,partial_observe,Map 6,0,167.6107448462451,15.052144098308295,0,2,80
5,partial_observe,Map 6,0,158.3090792218616,17.219377181223734,479,0,85
